time,co2,RMS,power1,power2,power3,power4,Temperature_CO2,Temperature_1,Temperature_12,Contact_porte,Occupancy,window,labels
0,390,0.006557,22,0,11,0,17.2,18.08,17.28,0,1,0,0
600,390,0.004791,22,0,11,0,17.2,18.08,17.28,0,0,0,0
1200,390,0.025156,22,0,11,0,17.4,18.24,17.12,0,0,0,0
1800,390,0.025156,22,0,11,0,17.4,18.24,17.12,0,0,0,0
2400,390,0.025156,22,0,11,0,17.6,18.4,17.12,0,0,0,0
3000,390,0.025156,22,0,11,0,17.6,18.4,17.12,0,1,0,0
3600,390,0.025156,22,0,11,0,17.6,18.4,17.28,0,1,0,0
4200,390,0.025156,22,0,11,0,17.6,18.56,17.12,0,1,0,0
4800,390,0.025156,22,0,11,0,17.6,18.56,17.12,0,1,0,0
5400,390,0.025156,22,0,11,0,17.8,18.72,17.12,0,1,0,0
6000,390,0.025156,22,0,11,0,17.8,18.72,17.12,0,1,0,0
6600,390,0.025156,22,0,11,0,17.8,18.72,17.12,0,1,0,0
7200,390,0.025156,22,0,11,0,17.8,18.72,17.28,0,1,0,0
7800,390,0.025156,22,0,11,0,17.8,18.88,17.28,1,1,0,0
8400,410,0.025156,22,0,11,0,17.8,18.88,17.6,0,1,0,0
9000,410,0.025156,22,0,11,0,18,19.04,17.6,0,1,0,0
9600,410,0.025156,22,0,11,0,18,19.2,17.6,0,1,0,0
10200,410,0.025156,22,0,11,0,18,19.2,17.44,0,1,0,0
10800,410,0.025156,22,0,11,0,18,19.2,17.44,1,1,0,0
11400,450,0.025156,22,0,11,0,18,19.52,17.6,0,1,0,1
12000,510,0.025156,22,0,11,0,18.2,19.68,17.76,1,1,0,1
12600,520,0.025156,22,0,11,0,18,19.68,17.76,1,1,0,1
13200,580,0.025156,22,0,11,0,18.2,19.68,17.6,1,1,0,1
13800,630,0.025156,22,0,11,0,18.4,19.68,17.6,1,1,0,1
14400,680,0.025156,22,0,11,0,18.4,19.84,17.6,0,1,0,1
15000,730,0.025156,22,0,11,0,18.6,19.84,17.76,1,1,0,1
15600,690,0.025156,22,0,11,0,18.4,20,17.76,1,1,0,1
16200,740,0.025156,22,0,11,0,18.4,20.16,17.6,0,1,0,1
16800,780,0.025156,22,0,11,100,18.6,20.32,17.6,0,1,0,1
17400,840,0.025156,22,0,11,100,18.8,20.32,17.92,0,1,0,1
18000,860,0.025156,22,0,11,100,18.8,20.32,17.92,0,1,0,1
18600,910,0.025156,22,0,11,100,18.8,20.48,17.92,0,1,0,1
19200,940,0.025156,22,64,11,100,19,20.48,18.08,0,1,0,1
19800,1080,0.025156,27,68,127,90,19,20.64,18.08,0,1,0,2
20400,1260,0.025156,92,66,134,72,19.2,20.64,18.56,1,1,0,3
21000,1410,0.025156,90,66,126,59,19.4,20.64,18.56,1,1,0,2
21600,1520,0.025156,88,50,128,58,19.6,20.64,18.72,0,1,0,2
22200,1610,0.025156,79,59,109,51,19.6,20.64,18.72,0,1,0,2
22800,1660,0.025156,73,60,39,47,19.8,20.8,18.88,0,1,0,2
23400,1770,0.025156,33,54,65,35,19.6,20.8,18.88,0,1,0,2
24000,1690,0.025156,90,46,61,35,19.6,20.96,18.88,0,1,0,2
24600,1760,0.025156,82,44,40,29,19.8,20.96,18.88,0,1,0,3
25200,1870,0.025156,94,40,111,0,20,20.96,19.04,0,1,0,3
25800,2040,0.025156,76,40,105,0,19.8,21.12,19.04,0,1,0,2
26400,2200,0.025156,87,43,102,0,19.8,21.12,19.04,0,1,0,2
27000,2260,0.025156,89,43,106,0,20,21.12,19.2,0,1,0,2
27600,2380,0.025156,84,36,110,0,20,21.12,19.2,0,1,0,2
28200,2460,0.025156,74,36,97,0,20.2,20.96,19.36,0,1,0,2
28800,2550,0.025156,87,35,92,0,20,20.96,19.36,0,1,0,3
29400,2550,0.025156,37,39,104,0,20.2,20.96,19.52,0,1,0,3
30000,2550,0.025156,40,17,21,0,20.2,20.8,19.52,0,1,0,3
30600,2550,0.025156,35,16,20,19,20.2,20.8,19.52,0,1,0,1
31200,2550,0.025156,34,16,20,57,20.2,20.64,19.52,0,1,0,1
31800,2550,0.025156,24,17,21,60,20,20.48,19.52,0,1,0,1
32400,2550,0.025156,24,16,20,53,20,20.48,19.52,0,1,0,1
33000,2550,0.025156,24,16,20,36,20,20.48,19.52,1,1,0,1
33600,2550,0.025156,81,16,22,37,20,20.48,19.52,0,1,0,1
34200,2540,0.025156,75,17,23,31,19.8,20.48,19.52,0,1,0,1
34800,2520,0.025156,83,16,20,32,19.8,20.48,19.52,0,0,0,1
35400,2540,0.025156,102,30,20,32,19.8,20.32,19.68,0,1,0,1
36000,2550,0.025156,90,31,20,31,20,20.48,19.68,0,1,0,2
36600,2550,0.025156,76,26,31,40,20,20.48,19.68,0,1,0,2
37200,2550,0.025156,76,17,33,22,20,20.32,19.68,0,1,0,3
37800,2550,0.025156,75,17,36,28,20.2,20.48,19.68,0,1,0,2
38400,2550,0.025156,75,17,25,25,20.2,20.48,19.68,0,1,0,2
39000,2550,0.025156,77,16,24,25,20,20.32,19.68,0,1,0,1
39600,2550,0.025156,82,16,34,30,20,20.32,19.68,0,1,0,1
40200,2550,0.025156,79,16,35,25,20.2,20.16,19.84,0,1,0,2
40800,2550,0.025156,76,16,26,37,20.2,20.16,19.84,0,1,0,2
41400,2550,0.025156,73,16,28,35,20.2,20,19.68,0,1,0,2
42000,2550,0.025156,73,16,11,19,20.2,20,19.68,0,1,0,2
42600,2550,0.025156,74,17,11,15,20,20,19.68,0,1,0,1
43200,2550,0.025156,71,16,11,24,20,20,19.68,0,1,0,1
43800,2550,0.025156,75,16,11,30,20,20,19.68,0,1,0,1
44400,2520,0.025156,73,16,11,25,20,20,19.68,0,1,0,1
45000,2480,0.025156,34,16,11,22,20,20,19.68,0,1,0,1
45600,2420,0.025156,74,16,11,34,19.8,20,19.68,0,1,0,1
46200,2420,0.025156,74,49,11,22,19.8,19.84,19.68,0,1,0,1
46800,2420,0.025156,84,25,11,20,20,19.84,19.68,0,1,0,1
47400,2550,0.025156,73,25,11,29,20,20,19.52,0,1,0,3
48000,2550,0.025156,73,29,11,28,20,20.16,19.52,0,1,0,2
48600,2550,0.025156,72,54,11,0,20,20,19.52,0,1,0,2
49200,2550,0.025156,74,28,11,0,19.8,20,19.52,0,1,0,1
49800,2550,0.025156,79,28,11,0,20,20,19.52,0,0,0,2
50400,2550,0.025156,78,25,11,0,20,19.84,19.52,0,0,0,1
51000,2550,0.025156,74,26,11,0,20,19.84,19.52,0,0,0,0
51600,2550,0.025156,73,51,11,0,19.8,19.84,19.52,0,0,0,0
52200,2550,0.025156,22,56,11,0,19.8,19.84,19.36,0,0,0,0
52800,2550,0.025156,22,49,11,0,19.8,19.68,19.36,0,0,0,0
53400,2550,0.025156,22,53,11,0,19.8,19.68,19.36,0,0,0,0
54000,2550,0.025156,22,52,11,0,19.8,19.52,19.36,0,0,0,0
