time,co2,RMS,power1,power2,power3,power4,power5,power6,OCCUPANCY,corridor,Temperature,OUTDOOR_TEMPERATURE,Door_contact,window,labels
0,410,0.0135,13,0,0,116,0,0,0,430,22.4,17.88,0,0,0
600,400,0.0135,13,0,0,116,0,0,0,430,22.4,17.88,0,0,0
1200,410,0.0135,13,0,0,116,0,0,0,430,22.4,17.88,0,0,0
1800,410,0.0135,13,0,0,116,0,0,0,430,22.4,17.88,0,0,0
2400,410,0.0134,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
3000,410,0.0134,13,0,0,116,0,0,0,430,22.4,17.88,0,0,0
3600,410,0.0134,13,0,0,116,0,0,0,430,22.4,17.88,0,0,0
4200,410,0.0133,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
4800,410,0.0133,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
5400,410,0.0133,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
6000,410,0.0132,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
6600,410,0.0132,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
7200,410,0.0132,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
7800,420,0.0131,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
8400,420,0.0131,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
9000,420,0.0131,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
9600,420,0.013,13,0,0,115,0,0,0,430,22.4,17.88,0,0,0
10200,420,0.013,13,0,0,115,0,0,0,440,22.4,17.88,0,0,0
10800,420,0.013,13,0,0,115,0,0,0,440,22.4,17.88,0,0,0
11400,420,0.0129,13,0,0,115,0,0,0,440,22.2,17.88,0,0,0
12000,420,0.0129,13,0,0,115,0,0,0,440,22.4,17.88,0,0,0
12600,420,0.0129,13,0,0,116,0,0,0,450,22.2,17.88,0,0,0
13200,420,0.0128,13,0,0,116,0,0,0,450,22.4,17.88,0,0,0
13800,420,0.0128,13,0,0,114,0,0,0,450,22.4,17.88,0,0,0
14400,420,0.0128,13,0,0,115,0,0,0,450,22.4,17.88,0,0,0
15000,420,0.0127,13,0,0,115,0,0,0,450,22.4,17.88,0,0,0
15600,420,0.0127,13,0,0,115,0,0,0,450,22.2,17.88,0,0,0
16200,420,0.0127,13,0,0,115,0,0,0,450,22.4,17.88,0,0,0
16800,420,0.0131,13,0,0,116,0,0,0,450,22.2,17.88,0,0,0
17400,420,0.0131,13,0,0,116,0,0,0,450,22.4,17.88,0,0,0
18000,420,0.0131,13,0,0,115,0,0,0,450,22.2,17.88,0,0,0
18600,420,0.0131,13,0,0,115,0,0,0,450,22.4,17.88,0,0,0
19200,420,0.0131,13,0,0,115,0,0,0,450,22.2,17.88,0,0,0
19800,420,0.0131,13,0,0,115,0,0,1,460,22.2,17.88,0,0,0
20400,430,0.0131,13,0,0,114,0,0,0,460,22.2,17.88,0,0,0
21000,430,0.0131,13,0,0,114,0,0,0,470,22.2,17.88,0,0,0
21600,430,0.0131,13,0,0,114,0,0,0,510,22.4,17.88,1,0,0
22200,430,0.0134,13,0,0,114,0,0,1,500,22.4,17.88,1,0,0
22800,430,0.0134,13,0,0,214,0,0,1,490,22.4,17.88,1,0,0
23400,470,0.0134,13,0,0,207,0,0,1,490,22.4,16.94,1,0,0
24000,480,0.0133,13,0,0,224,23,23,1,500,22.6,16.94,1,0,0
24600,540,0.0133,13,0,0,235,22,22,1,510,22.6,16.94,0,0,0
25200,650,0.0133,13,0,0,253,18,18,0,600,22.6,16.94,0,0,0
25800,660,0.0135,13,0,0,250,19,19,1,660,22.6,16.94,0,0,0
26400,680,0.0135,13,0,0,224,18,18,0,640,22.8,16.94,0,0,0
27000,700,0.0135,13,0,0,224,21,21,1,620,22.8,16.94,0,0,0
27600,710,0.0137,13,0,0,224,23,23,1,690,23,16.94,0,0,0
28200,710,0.0137,13,0,0,217,24,24,0,700,23,16.94,0,0,0
28800,900,0.0137,13,0,0,221,29,29,0,770,23,17.88,0,0,0
29400,910,0.0227,13,0,0,207,26,26,0,830,23,17.88,0,0,0
30000,940,0.0227,13,0,0,203,20,20,0,810,23.2,17.88,0,0,0
30600,880,0.0227,13,0,0,198,21,21,0,850,23.2,17.88,0,0,0
31200,880,0.0116,13,0,0,213,21,21,0,830,23.2,17.88,1,0,0
31800,890,0.0116,13,0,0,198,19,19,0,900,23.2,17.88,0,0,0
32400,780,0.0116,13,0,0,208,21,21,0,920,23.2,17.88,0,0,0
33000,860,0.0254,13,0,0,207,21,21,1,980,23.2,18.82,0,0,0
33600,900,0.0254,13,0,0,200,23,23,0,1020,23.2,18.82,0,0,0
34200,910,0.0254,13,0,0,198,19,19,0,1100,23.2,18.82,0,0,0
34800,920,0.0502,13,0,0,210,17,17,0,1100,23.4,18.82,1,0,2
35400,990,0.0502,13,0,0,213,30,30,1,1140,23.4,18.82,0,0,2
36000,1010,0.0502,13,0,0,217,30,30,0,1130,23.4,18.82,0,0,2
36600,1040,0.0279,13,0,0,212,29,29,1,1050,23.4,19.76,0,0,1
37200,1070,0.0279,13,0,0,207,25,25,1,1160,23.4,19.76,1,0,1
37800,1070,0.0279,13,0,0,204,22,22,1,1150,23.4,20.71,0,0,1
38400,1060,0.04,72,25,0,204,25,25,1,1140,23.8,21.65,0,1,2
39000,1070,0.04,75,29,0,204,26,26,1,1180,24,21.65,1,1,2
39600,1010,0.04,74,26,0,205,24,24,1,1190,24,21.65,1,1,2
40200,800,0.01,69,24,0,201,24,24,1,1130,24.2,20.71,0,1,1
40800,810,0.01,70,27,0,224,23,23,1,1080,24.4,20.71,0,1,1
41400,810,0.01,68,24,0,451,21,21,1,1070,24.6,20.71,0,1,1
42000,730,0.0089,56,24,0,430,24,24,1,1040,25.2,20.71,0,1,0
42600,830,0.0089,56,14,0,427,21,21,1,1010,25,20.71,0,1,0
43200,810,0.0089,56,14,0,422,31,31,0,990,25.2,20.71,0,1,0
43800,640,0.011,29,14,0,412,21,21,1,940,25.6,19.76,0,1,0
44400,740,0.011,75,29,0,404,20,20,1,930,25.8,19.76,0,1,0
45000,590,0.011,78,28,0,429,24,24,1,920,25.8,20.71,0,1,0
45600,780,0.01,85,26,0,406,20,20,1,880,25.4,21.65,0,1,1
46200,580,0.01,69,30,0,395,21,21,0,900,26,21.65,1,1,1
46800,600,0.01,70,28,0,400,26,26,1,890,25.4,21.65,0,1,1
47400,650,0.0172,67,28,0,413,20,20,1,920,25.4,21.65,0,1,1
48000,520,0.0172,70,26,0,411,23,23,1,910,26,24.94,0,1,1
48600,700,0.0172,80,26,0,411,30,30,1,890,26,26.82,1,1,1
49200,560,0.0386,65,26,0,413,20,20,1,850,26,25.88,0,1,2
49800,740,0.0386,66,27,0,423,22,22,0,840,25.4,26.82,0,1,2
50400,640,0.0386,71,28,0,409,22,22,1,820,25.8,27.76,0,1,2
51000,750,0.0661,65,28,0,410,24,24,1,760,25.8,27.76,0,1,3
51600,670,0.0661,72,28,0,408,21,21,1,750,26,28.71,1,1,3
52200,600,0.0661,70,26,0,406,18,18,1,740,26,28.71,0,1,3
52800,720,0.0661,66,27,0,403,23,23,1,780,26,28.71,0,1,4
53400,640,0.0661,30,16,0,409,26,26,1,810,25.6,26.82,0,1,4
54000,650,0.0558,69,30,0,393,24,24,1,750,26,25.88,0,1,4
54600,490,0.0558,71,45,0,357,22,22,0,750,26.2,24.94,0,1,4
55200,510,0.0558,67,31,0,354,0,0,0,750,26.2,24,0,1,4
55800,520,0.0356,68,33,0,371,0,0,0,680,25.8,24,0,1,2
56400,520,0.0356,68,27,0,355,0,0,0,700,25.6,24,0,1,2
57000,450,0.0356,83,46,0,354,0,0,0,680,26.2,24,0,1,2
57600,500,0.0207,68,31,0,354,0,0,0,660,25.4,24.94,0,1,2
58200,430,0.0207,69,26,0,354,0,0,0,600,25.8,24.94,0,0,2
58800,470,0.0207,14,0,0,353,0,0,0,570,25.6,25.88,0,0,2
59400,510,0.031,13,0,0,353,0,0,0,570,25.8,24.94,0,0,3
60000,480,0.031,13,0,0,354,0,0,0,560,25.8,24.94,0,0,3
60600,490,0.031,13,0,0,352,0,0,0,560,25.8,24.94,0,0,3
61200,480,0.0493,13,0,0,352,0,0,0,570,25.8,24.94,0,0,3
61800,480,0.0493,13,0,0,354,0,0,0,580,25.8,24.94,0,0,3
62400,480,0.0493,13,0,0,352,0,0,0,570,25.8,24.94,0,0,3
63000,510,0.016,13,0,0,352,0,0,0,560,25.8,24.94,0,0,2
63600,440,0.016,13,0,0,352,0,0,0,540,25.8,24,0,0,2
64200,440,0.016,13,0,0,352,0,0,0,530,25.6,24,0,0,2
64800,430,0.0328,13,0,0,353,0,0,0,520,25.8,24,0,0,2
65400,440,0.0328,13,0,0,352,0,0,0,530,25.6,24,0,0,2
66000,430,0.0328,13,0,0,351,0,0,0,530,25.6,24,0,0,2
66600,440,0.0261,13,0,0,351,0,0,0,550,25.6,22.59,0,0,1
67200,420,0.0261,13,0,0,352,0,0,0,530,25.6,22.59,0,0,1
67800,430,0.0261,13,0,0,352,0,0,0,550,25.6,22.59,0,0,1
68400,430,0.0109,13,0,0,352,0,0,0,550,25.6,22.59,0,0,1
69000,430,0.0109,13,0,0,351,0,0,0,550,25.6,22.59,0,0,1
69600,400,0.0109,13,0,0,351,0,0,0,550,25.6,22.59,0,0,1
70200,420,0.0011,13,0,0,351,0,0,0,550,25.6,22.59,0,0,0
70800,430,0.0011,13,0,0,353,0,0,0,540,25.6,22.59,0,0,0
71400,430,0.0011,13,0,0,353,0,0,0,540,25.6,22.59,0,0,0
72000,430,0.001,13,0,0,353,0,0,0,540,25.6,22.59,0,0,0
72600,430,0.001,13,0,0,353,0,0,0,540,25.6,22.59,0,0,0
73200,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
73800,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
74400,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
75000,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
75600,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
76200,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
76800,430,0.001,13,0,0,353,0,0,0,540,25.6,21.65,0,0,0
77400,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
78000,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
78600,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
79200,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
79800,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
80400,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
81000,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
81600,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
82200,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
82800,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
83400,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
84000,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
84600,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
85200,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
85800,430,0.001,13,0,0,353,0,0,0,540,25.6,20.71,0,0,0
86400,430,0.001,13,0,0,353,0,0,0,540,25.6,19.76,0,0,0
87000,390,0.001,13,0,0,352,0,0,0,450,25.4,19.76,0,0,0
